Target	BaitCovg	w/in100nt	w/in300nt	w/in500nt
set6-0340000017045-MASP1-ex-12	98.75%	100.00%	100.00%	100.00%
set6-0340000017158-SLX4-ex-4	97.20%	100.00%	100.00%	100.00%
set6-0340000017202-lgi1-ex-7	96.35%	100.00%	100.00%	100.00%
set6-0340000017307-MMEL1-ex-0	90.09%	100.00%	100.00%	100.00%
set6-0340000017383-ABCA3-ex-25	96.30%	100.00%	100.00%	100.00%
set6-0340000017459-socs3-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000017551-chrng-ex-2	95.26%	100.00%	100.00%	100.00%
set6-0340000017583-RAPGEF5-ex-0	95.24%	100.00%	100.00%	100.00%
set6-0340000017688-ADAMTS5-ex-0	88.45%	100.00%	100.00%	100.00%
set6-0340000017825-WIZ-ex-14	96.25%	100.00%	100.00%	100.00%
set6-0340000017825-WIZ-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000017825-WIZ-ex-9	98.22%	100.00%	100.00%	100.00%
set6-0340000017940-pgp-ex-0	98.33%	100.00%	100.00%	100.00%
set6-0340000017967-TACC2-ex-4	97.92%	100.00%	100.00%	100.00%
set6-0340000018010-atp6v0a4.L-ex-3	95.35%	100.00%	100.00%	100.00%
set6-0340000018082-ERAP1-ex-13	97.84%	100.00%	100.00%	100.00%
set6-0340000018168-ywhag-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000018249-POPDC2-ex-1	94.73%	100.00%	100.00%	100.00%
set6-0340000018381-IP6K2-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000018381-IP6K2-ex-4	98.72%	100.00%	100.00%	100.00%
set6-0340000018382-FAM105A-ex-1	95.22%	100.00%	100.00%	100.00%
set6-0340000018458-CILP2-ex-8	98.75%	100.00%	100.00%	100.00%
set6-0340000018468-EVPL-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000018510-TGFBR3-ex-16	75.18%	100.00%	100.00%	100.00%
set6-0340000018572-Twist1-ex-1	98.36%	100.00%	100.00%	100.00%
set6-0340000018636-ENKD1-ex-3	95.02%	100.00%	100.00%	100.00%
set6-0340000018726-NFIA-ex-1	62.33%	100.00%	100.00%	100.00%
set6-0340000018786-lmnb2.S-ex-6	95.45%	100.00%	100.00%	100.00%
set6-0340000018887-TLX1-ex-1	95.02%	100.00%	100.00%	100.00%
set6-0340000019015-XIRP1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000019036-TRAK1-ex-12	97.93%	100.00%	100.00%	100.00%
set6-0340000019116-DCBLD2-ex-13	95.22%	100.00%	100.00%	100.00%
set6-0340000019124-Tmem64-ex-2	97.52%	100.00%	100.00%	100.00%
set6-0340000019128-Stx12-ex-0	97.54%	100.00%	100.00%	100.00%
set6-0340000019133-ATP2B2-ex-0	89.95%	100.00%	100.00%	100.00%
set6-0340000019224-TTL-ex-0	95.58%	100.00%	100.00%	100.00%
set6-0340000019413-rcor1-ex-11	95.58%	100.00%	100.00%	100.00%
set6-0340000019480-SLC38A1-ex-16	95.02%	100.00%	100.00%	100.00%
set6-0340000019515-BACE1-ex-8	95.88%	100.00%	100.00%	100.00%
set6-0340000019591-NECTIN1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000019655-adrb1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000019849-Tbl1xr1-ex-1	97.70%	100.00%	100.00%	100.00%
set6-0340000019853-ZNF711-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000020070-OXSR1-ex-1	96.31%	100.00%	100.00%	100.00%
set6-0340000020074-PODXL2-ex-0	95.22%	100.00%	100.00%	100.00%
set6-0340000020309-CIC-ex-0	98.39%	100.00%	100.00%	100.00%
set6-0340000020448-KIF3A-ex-1	96.34%	100.00%	100.00%	100.00%
set6-0340000020454-ECM2-ex-7	85.78%	100.00%	100.00%	100.00%
set6-0340000020495-LAMA5-ex-40	95.73%	100.00%	100.00%	100.00%
set6-0340000020502-RPS6KL1-ex-9	96.61%	100.00%	100.00%	100.00%
set6-0340000020789-MYLK4-ex-13	98.28%	100.00%	100.00%	100.00%
set6-0340000020791-MTMR10-ex-14	98.75%	100.00%	100.00%	100.00%
set6-0340000020825-TMEM150C-ex-1	95.17%	100.00%	100.00%	100.00%
set6-0340000020877-ARNT2-ex-16	95.31%	100.00%	100.00%	100.00%
set6-0340000021059-DLX5-ex-2	34.40%	66.47%	100.00%	100.00%
set6-0340000021317-RAB11FIP3-ex-15	70.06%	100.00%	100.00%	100.00%
set6-0340000021479-col12a1-ex-65	98.54%	100.00%	100.00%	100.00%
set6-0340000021479-col12a1-ex-9	98.34%	100.00%	100.00%	100.00%
set6-0340000021487-jph2-ex-2	95.28%	100.00%	100.00%	100.00%
set6-0340000021602-MED14-ex-4	88.51%	100.00%	100.00%	100.00%
set6-0340000021610-GPR45-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000021701-CBL-ex-15	97.75%	100.00%	100.00%	100.00%
set6-0340000021708-fam160a2-ex-4	96.66%	100.00%	100.00%	100.00%
set6-0340000021752-SYNE1-ex-3	79.85%	100.00%	100.00%	100.00%
set6-0340000022152-SEMA3G-ex-15	97.58%	100.00%	100.00%	100.00%
set6-0340000022394-TNFAIP6-ex-2	95.61%	100.00%	100.00%	100.00%
set6-0340000022698-ARHGEF19-ex-1	98.48%	100.00%	100.00%	100.00%
set6-0340000022735-BAHCC1-ex-4	98.75%	100.00%	100.00%	100.00%
set6-0340000022802-HS3ST5-ex-4	98.75%	100.00%	100.00%	100.00%
set6-0340000022979-MARCH2-ex-1	95.61%	100.00%	100.00%	100.00%
set6-0340000022994-MYH10-ex-41	97.11%	100.00%	100.00%	100.00%
set6-0340000022997-EXOC6B-ex-18	96.72%	100.00%	100.00%	100.00%
set6-0340000023036-TBC1D12-ex-1	96.12%	100.00%	100.00%	100.00%
set6-0340000023067-AREL1-ex-15	95.56%	100.00%	100.00%	100.00%
set6-0340000023104-Nell2-ex-19	97.33%	100.00%	100.00%	100.00%
set6-0340000023242-collagen-ex-51	96.75%	100.00%	100.00%	100.00%
set6-0340000023472-TTBK2-ex-0	98.68%	100.00%	100.00%	100.00%
set6-0340000023838-ASB2-ex-3	95.82%	100.00%	100.00%	100.00%
set6-0340000023895-EDNRA-ex-7	95.73%	100.00%	100.00%	100.00%
set6-0340000023974-TXNDC16-ex-9	97.07%	100.00%	100.00%	100.00%
set6-0340000024009-ppp6r1-ex-2	95.71%	100.00%	100.00%	100.00%
set6-0340000024100-SRCAP-ex-22	95.05%	100.00%	100.00%	100.00%
set6-0340000024252-PRRC2B-ex-6	97.19%	100.00%	100.00%	100.00%
set6-0340000024258-wdr37.L-ex-1	98.25%	100.00%	100.00%	100.00%
set6-0340000024344-DTX1-ex-1	97.57%	100.00%	100.00%	100.00%
set6-0340000024439-GABBR2-ex-18	96.88%	100.00%	100.00%	100.00%
set6-0340000024476-tyro3-ex-0	97.47%	100.00%	100.00%	100.00%
set6-0340000024487-GPR146-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000024552-ROR1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000024593-ZFHX3-ex-1	92.75%	100.00%	100.00%	100.00%
set6-0340000024618-MAPKAPK2-ex-10	96.15%	100.00%	100.00%	100.00%
set6-0340000024623-POMGNT2-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000024725-RNF111-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000024729-LCLAT1-ex-8	98.75%	100.00%	100.00%	100.00%
set6-0340000024792-MAFK-ex-4	97.99%	100.00%	100.00%	100.00%
set6-0340000024840-UBE2V2-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000024992-ABCG4-ex-14	95.45%	100.00%	100.00%	100.00%
set6-0340000025023-Meis2-ex-2	95.59%	100.00%	100.00%	100.00%
set6-0340000025042-CLIP1-ex-0	95.94%	100.00%	100.00%	100.00%
set6-0340000025077-PRKCA-ex-13	97.43%	100.00%	100.00%	100.00%
set6-0340000025103-DNAJC10-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000025293-OLFML2B-ex-2	98.72%	100.00%	100.00%	100.00%
set6-0340000025538-ABL2-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000025586-GPR52-ex-0	96.75%	100.00%	100.00%	100.00%
set6-0340000025727-PCMTD1-ex-6	90.28%	100.00%	100.00%	100.00%
set6-0340000025740-ANKRD11-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000025762-FMR1-ex-14	97.02%	100.00%	100.00%	100.00%
set6-0340000025815-MYO1E-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000025873-ADAMTS8-ex-7	89.61%	100.00%	100.00%	100.00%
set6-0340000025916-RNF170-ex-0	97.15%	100.00%	100.00%	100.00%
set6-0340000025976-PTPN11-ex-15	97.59%	100.00%	100.00%	100.00%
set6-0340000026002-CA7-ex-1	96.90%	100.00%	100.00%	100.00%
set6-0340000026075-RAB11A-ex-0	96.88%	100.00%	100.00%	100.00%
set6-0340000026147-PPL-ex-23	98.75%	100.00%	100.00%	100.00%
set6-0340000026220-prickle2.S-ex-7	98.75%	100.00%	100.00%	100.00%
set6-0340000026549-rassf10.S-ex-1	96.75%	100.00%	100.00%	100.00%
set6-0340000026673-estrogen-ex-7	96.93%	100.00%	100.00%	100.00%
set6-0340000026876-UBAC1-ex-1	97.76%	100.00%	100.00%	100.00%
set6-0340000026907-LPAR4-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000026924-VASN-ex-0	95.43%	100.00%	100.00%	100.00%
set6-0340000026961-CHRM3-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000026963-npnt-ex-8	98.03%	100.00%	100.00%	100.00%
set6-0340000027019-Fer-1-like-ex-2	76.50%	100.00%	100.00%	100.00%
set6-0340000027109-PHLDB1-ex-23	95.28%	100.00%	100.00%	100.00%
set6-0340000027111-CHD9-ex-12	95.88%	100.00%	100.00%	100.00%
set6-0340000027111-CHD9-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000027131-WWTR1-ex-0	60.06%	87.60%	100.00%	100.00%
set6-0340000027131-WWTR1-ex-5	90.75%	100.00%	100.00%	100.00%
set6-0340000027183-UBE2J1-ex-7	96.66%	100.00%	100.00%	100.00%
set6-0340000027333-ERCC6L-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000027349-IKZF2-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000027406-FBLN7-ex-7	98.25%	100.00%	100.00%	100.00%
set6-0340000027439-KANK2-ex-5	98.75%	100.00%	100.00%	100.00%
set6-0340000027455-FGD1-ex-14	96.29%	100.00%	100.00%	100.00%
set6-0340000027626-MIR4800-ex-31	98.38%	100.00%	100.00%	100.00%
set6-0340000027745-SNTB2-ex-0	67.61%	100.00%	100.00%	100.00%
set6-0340000027757-MYB-ex-0	98.44%	100.00%	100.00%	100.00%
set6-0340000027757-MYB-ex-11	95.45%	100.00%	100.00%	100.00%
set6-0340000027809-crtc3-ex-0	97.73%	100.00%	100.00%	100.00%
set6-0340000027862-RERG-ex-4	97.58%	100.00%	100.00%	100.00%
set6-0340000027949-COP9-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000028306-arl10b-ex-6	98.27%	100.00%	100.00%	100.00%
set6-0340000028419-SLC38A3-ex-15	97.38%	100.00%	100.00%	100.00%
set6-0340000028430-sbk2-ex-3	98.58%	100.00%	100.00%	100.00%
set6-0340000028470-hnrnpab-ex-3	98.47%	100.00%	100.00%	100.00%
set6-0340000028514-UPF1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000028587-psmd3-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000028719-EVI5L-ex-0	98.53%	100.00%	100.00%	100.00%
set6-0340000028971-TET2-ex-9	98.75%	100.00%	100.00%	100.00%
set6-0340000029317-CLIP2-ex-14	98.12%	100.00%	100.00%	100.00%
set6-0340000029368-ACMSD-ex-6	95.33%	100.00%	100.00%	100.00%
set6-0340000029380-RBFOX2-ex-0	83.58%	100.00%	100.00%	100.00%
set6-0340000029386-LDB3-ex-13	98.07%	100.00%	100.00%	100.00%
set6-0340000029502-Adss-ex-12	70.80%	100.00%	100.00%	100.00%
set6-0340000029609-EIF5A-ex-0	97.51%	100.00%	100.00%	100.00%
set6-0340000029794-KCTD7-ex-0	97.34%	100.00%	100.00%	100.00%
set6-0340000029950-Nuclear-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000030012-ACVR2B-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000030185-UBE2QL1-ex-0	87.23%	100.00%	100.00%	100.00%
set6-0340000030205-LCORL-ex-4	95.67%	100.00%	100.00%	100.00%
set6-0340000030261-RHOH-ex-0	98.23%	100.00%	100.00%	100.00%
set6-0340000030387-TMEM165-ex-2	98.10%	100.00%	100.00%	100.00%
set6-0340000030552-DYRK1A-ex-10	92.75%	100.00%	100.00%	100.00%
set6-0340000030603-MAGI3-ex-21	98.75%	100.00%	100.00%	100.00%
set6-0340000030666-lpl-ex-5	95.65%	100.00%	100.00%	100.00%
set6-0340000030699-HS3ST1-ex-0	90.75%	100.00%	100.00%	100.00%
set6-0340000030810-KIAA1217-ex-17	98.75%	100.00%	100.00%	100.00%
set6-0340000030810-KIAA1217-ex-18	89.34%	100.00%	100.00%	100.00%
set6-0340000030896-PTPRU-ex-11	96.34%	100.00%	100.00%	100.00%
set6-0340000030918-GDF5-ex-1	97.99%	100.00%	100.00%	100.00%
set6-0340000031006-FAM69B-ex-5	98.75%	100.00%	100.00%	100.00%
set6-0340000031036-RBMS3-ex-0	95.17%	100.00%	100.00%	100.00%
set6-0340000031063-GOLGA1-ex-13	96.40%	100.00%	100.00%	100.00%
set6-0340000031258-SYNM-ex-0	98.67%	100.00%	100.00%	100.00%
set6-0340000031321-acetylcholinesterase-ex-0	96.27%	100.00%	100.00%	100.00%
set6-0340000031468-CD200-ex-1	97.04%	100.00%	100.00%	100.00%
set6-0340000031661-PPP2R2C-ex-12	97.42%	100.00%	100.00%	100.00%
set6-0340000031732-ANOS1-ex-17	95.26%	100.00%	100.00%	100.00%
set6-0340000031795-GPR182-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000031955-MYOCD-ex-4	98.75%	100.00%	100.00%	100.00%
set6-0340000032034-ROBO2-ex-15	95.43%	100.00%	100.00%	100.00%
set6-0340000032139-LCK-ex-12	95.02%	100.00%	100.00%	100.00%
set6-0340000032215-SRGAP1-ex-22	98.67%	100.00%	100.00%	100.00%
set6-0340000032215-SRGAP1-ex-7	95.45%	100.00%	100.00%	100.00%
set6-0340000032259-PABPC4-ex-7	96.28%	100.00%	100.00%	100.00%
set6-0340000032393-DLG4-ex-23	98.10%	100.00%	100.00%	100.00%
set6-0340000032406-MRC2-ex-18	95.02%	100.00%	100.00%	100.00%
set6-0340000032417-ADAMTS2-ex-3	95.15%	100.00%	100.00%	100.00%
set6-0340000032610-AGTPBP1-ex-13	98.60%	100.00%	100.00%	100.00%
set6-0340000032707-rps24-ex-3	95.19%	100.00%	100.00%	100.00%
set6-0340000032782-tnc-ex-17	95.82%	100.00%	100.00%	100.00%
set6-0340000032799-TP53INP2-ex-3	96.23%	100.00%	100.00%	100.00%
set6-0340000032913-PLP1-ex-2	96.20%	100.00%	100.00%	100.00%
set6-0340000032998-KIAA1614-ex-3	95.33%	100.00%	100.00%	100.00%
set6-0340000033014-MGAT5-ex-0	98.16%	100.00%	100.00%	100.00%
set6-0340000033192-nrp2.S-ex-2	98.28%	100.00%	100.00%	100.00%
set6-0340000033280-RBBP6-ex-9	97.11%	100.00%	100.00%	100.00%
set6-0340000033297-TBX4-ex-4	95.80%	100.00%	100.00%	100.00%
set6-0340000033353-RUN-ex-0	96.21%	100.00%	100.00%	100.00%
set6-0340000033378-ARPP21-ex-20	84.75%	100.00%	100.00%	100.00%
set6-0340000033496-EPG5-ex-12	95.31%	100.00%	100.00%	100.00%
set6-0340000033563-ADGRB2-ex-0	97.61%	100.00%	100.00%	100.00%
set6-0340000033745-SLIT2-ex-12	97.60%	100.00%	100.00%	100.00%
set6-0340000033837-KIF13B-ex-31	95.26%	100.00%	100.00%	100.00%
set6-0340000033840-NACC2-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000033862-HSP90AB1-ex-5	96.83%	100.00%	100.00%	100.00%
set6-0340000033868-SPRED1-ex-6	98.75%	100.00%	100.00%	100.00%
set6-0340000033981-ANK1-ex-4	98.75%	100.00%	100.00%	100.00%
set6-0340000034097-EBF3-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000034102-AP3B2-ex-26	95.82%	100.00%	100.00%	100.00%
set6-0340000034248-ADGRA2-ex-6	95.00%	100.00%	100.00%	100.00%
set6-0340000034338-SFRP4-ex-1	97.43%	100.00%	100.00%	100.00%
set6-0340000034512-MAP3K1-ex-2	98.74%	100.00%	100.00%	100.00%
set6-0340000034607-ZNF638-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000034640-ATP8A1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000034667-tmem200a-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000034716-PDE4D-ex-0	88.80%	100.00%	100.00%	100.00%
set6-0340000034881-KAT6B-ex-13	98.67%	100.00%	100.00%	100.00%
set6-0340000035068-ICE1-ex-6	98.75%	100.00%	100.00%	100.00%
set6-0340000035098-slc46a1-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000035160-AGO4-ex-18	98.73%	100.00%	100.00%	100.00%
set6-0340000035317-slc30a7.L-ex-1	98.40%	100.00%	100.00%	100.00%
set6-0340000035859-RAB40C-ex-5	95.41%	100.00%	100.00%	100.00%
set6-0340000036098-APCDD1L-ex-2	98.11%	100.00%	100.00%	100.00%
set6-0340000036383-SNX21-ex-4	98.49%	100.00%	100.00%	100.00%
set6-0340000036424-DAAM2-ex-8	96.99%	100.00%	100.00%	100.00%
set6-0340000036701-rab15-ex-7	98.42%	100.00%	100.00%	100.00%
set6-0340000036712-TBXA2R-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000036715-PELI3-ex-6	98.44%	100.00%	100.00%	100.00%
set6-0340000036720-SCUBE3-ex-33	97.83%	100.00%	100.00%	100.00%
set6-0340000036790-CLN8-ex-0	95.98%	100.00%	100.00%	100.00%
set6-0340000036846-itih5.L-ex-1	97.35%	100.00%	100.00%	100.00%
set6-0340000036923-STK38L-ex-0	98.03%	100.00%	100.00%	100.00%
set6-0340000036992-hspa13.L-ex-4	97.19%	100.00%	100.00%	100.00%
set6-0340000037027-PCDH17-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000037211-ZCCHC24-ex-0	93.43%	100.00%	100.00%	100.00%
set6-0340000037235-s1pr5.S-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000037775-RANBP9-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000037779-MAN1C1-ex-3	95.41%	100.00%	100.00%	100.00%
set6-0340000037783-S1PR1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000037949-HEATR5B-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000038311-MYBL2-ex-9	95.45%	100.00%	100.00%	100.00%
set6-0340000038402-ALX4-ex-2	97.73%	100.00%	100.00%	100.00%
set6-0340000038404-PCDH20-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000038740-PID1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000038747-mapre2-ex-0	98.40%	100.00%	100.00%	100.00%
set6-0340000038770-LUZP1-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000038847-ZBTB26-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000038854-Gls-ex-1	96.66%	100.00%	100.00%	100.00%
set6-0340000039005-FZD6-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000039103-chst3-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000039190-RPS6KA3-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000039212-IRX4-ex-2	62.50%	100.00%	100.00%	100.00%
set6-0340000039298-lamb3-ex-13	96.74%	100.00%	100.00%	100.00%
set6-0340000039313-bcorl1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000039576-CPD-ex-0	96.50%	100.00%	100.00%	100.00%
set6-0340000040013-champ1-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000040018-TEAD3-ex-12	96.06%	100.00%	100.00%	100.00%
set6-0340000040072-AFAP1L1-ex-12	95.17%	100.00%	100.00%	100.00%
set6-0340000040189-ZNF385D-ex-8	72.27%	100.00%	100.00%	100.00%
set6-0340000040279-ADCYAP1R1-ex-0	98.06%	100.00%	100.00%	100.00%
set6-0340000040370-znf639.L-ex-3	90.75%	100.00%	100.00%	100.00%
set6-0340000040424-IGFBP3-ex-1	95.15%	100.00%	100.00%	100.00%
set6-0340000040438-AXL-ex-19	97.52%	100.00%	100.00%	100.00%
set6-0340000040578-CSRNP3-ex-0	77.39%	100.00%	100.00%	100.00%
set6-0340000040847-RLF-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000040929-UNC5B-ex-1	95.48%	100.00%	100.00%	100.00%
set6-0340000041084-PFKFB3-ex-8	95.07%	100.00%	100.00%	100.00%
set6-0340000041112-cacnb3-ex-0	96.98%	100.00%	100.00%	100.00%
set6-0340000041151-dpysl3-ex-0	72.89%	100.00%	100.00%	100.00%
set6-0340000041265-CLN6-ex-12	96.36%	100.00%	100.00%	100.00%
set6-0340000041296-TGM2-ex-3	96.11%	100.00%	100.00%	100.00%
set6-0340000041305-FGF13-ex-12	98.75%	100.00%	100.00%	100.00%
set6-0340000041343-unnamed-ex-19	95.31%	100.00%	100.00%	100.00%
set6-0340000041571-SATB1-ex-10	92.75%	100.00%	100.00%	100.00%
set6-0340000041579-Fam13b-ex-0	98.73%	100.00%	100.00%	100.00%
set6-0340000041597-cbx6.L-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000041612-BACH1-ex-4	97.86%	100.00%	100.00%	100.00%
set6-0340000041943-inafm2-ex-0	95.17%	100.00%	100.00%	100.00%
set6-0340000041991-LURAP1-ex-0	96.79%	100.00%	100.00%	100.00%
set6-0340000042051-WFS1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000042137-NACC2-ex-0	98.49%	100.00%	100.00%	100.00%
set6-0340000042256-lrrc8b-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000042293-AKAP11-ex-6	98.75%	100.00%	100.00%	100.00%
set6-0340000042336-ELMOD1-ex-9	97.93%	100.00%	100.00%	100.00%
set6-0340000042365-ankrd13b-ex-14	95.22%	100.00%	100.00%	100.00%
set6-0340000042518-ZNF516-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000042546-YAP1-ex-5	96.61%	100.00%	100.00%	100.00%
set6-0340000042668-vasotocin-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000042709-S1PR2-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000042751-PLEKHO1-ex-5	98.61%	100.00%	100.00%	100.00%
set6-0340000042822-elovl5.L-ex-7	98.25%	100.00%	100.00%	100.00%
set6-0340000042877-TRIM55-ex-7	95.71%	100.00%	100.00%	100.00%
set6-0340000042963-TULP4-ex-4	98.75%	100.00%	100.00%	100.00%
set6-0340000043044-ttll1-ex-7	95.12%	100.00%	100.00%	100.00%
set6-0340000043123-amigo1-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000043201-ENPP4-ex-0	97.24%	100.00%	100.00%	100.00%
set6-0340000043244-CAPN5-ex-13	98.32%	100.00%	100.00%	100.00%
set6-0340000043410-NOG-ex-1	88.63%	100.00%	100.00%	100.00%
set6-0340000043424-DDX3X-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000043552-DENND5B-ex-24	97.93%	100.00%	100.00%	100.00%
set6-0340000043635-CBLL1-ex-0	84.75%	100.00%	100.00%	100.00%
set6-0340000043707-GALNT7-ex-1	98.50%	100.00%	100.00%	100.00%
set6-0340000043757-LIG4-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000043790-NPC1-ex-5	95.87%	100.00%	100.00%	100.00%
set6-0340000043864-UBASH3B-ex-8	95.05%	100.00%	100.00%	100.00%
set6-0340000043905-GNE-ex-3	97.71%	100.00%	100.00%	100.00%
set6-0340000044054-OSGIN1-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000044060-STK17A-ex-6	97.30%	100.00%	100.00%	100.00%
set6-0340000044071-FBN1-ex-64	98.75%	100.00%	100.00%	100.00%
set6-0340000044199-wingless-type-ex-4	95.45%	100.00%	100.00%	100.00%
set6-0340000044213-ITGB4-ex-32	96.18%	100.00%	100.00%	100.00%
set6-0340000044468-USP34-ex-2	97.62%	100.00%	100.00%	100.00%
set6-0340000044552-COCH-ex-2	95.33%	100.00%	100.00%	100.00%
set6-0340000044557-DDR2-ex-2	95.73%	100.00%	100.00%	100.00%
set6-0340000044603-EEF1A2-ex-1	96.61%	100.00%	100.00%	100.00%
set6-0340000044633-PKDCC-ex-8	96.28%	100.00%	100.00%	100.00%
set6-0340000044712-CUNH3orf18-ex-1	96.20%	100.00%	100.00%	100.00%
set6-0340000044776-FNDC3B-ex-27	98.73%	100.00%	100.00%	100.00%
set6-0340000044826-SNX13-ex-1	97.94%	100.00%	100.00%	100.00%
set6-0340000045069-APBB1-ex-1	95.22%	100.00%	100.00%	100.00%
set6-0340000045117-KANK3-ex-8	98.75%	100.00%	100.00%	100.00%
set6-0340000045121-ANO1-ex-0	98.14%	100.00%	100.00%	100.00%
set6-0340000045200-KCNJ2-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000045274-CHSY1-ex-2	98.75%	100.00%	100.00%	100.00%
set6-0340000045314-PTGFRN-ex-8	97.94%	100.00%	100.00%	100.00%
set6-0340000045325-PAPLN-ex-2	96.47%	100.00%	100.00%	100.00%
set6-0340000045356-DMTF1-ex-16	98.46%	100.00%	100.00%	100.00%
set6-0340000045601-TMEM198-ex-2	98.25%	100.00%	100.00%	100.00%
set6-0340000045617-OBSL1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000045646-SYNJ1-ex-4	98.27%	100.00%	100.00%	100.00%
set6-0340000045668-HECW2-ex-0	98.75%	100.00%	100.00%	100.00%
set6-0340000045831-PRKCB-ex-15	97.44%	100.00%	100.00%	100.00%
set6-0340000045969-IRX3-ex-0	95.90%	100.00%	100.00%	100.00%
set6-0340000046089-NEURL2-ex-0	98.55%	100.00%	100.00%	100.00%
set6-0340000046102-ATL2-ex-14	97.81%	100.00%	100.00%	100.00%
set6-0340000046233-DAZAP2-ex-3	96.81%	100.00%	100.00%	100.00%
set6-0340000046236-UBN2-ex-3	98.75%	100.00%	100.00%	100.00%
set6-0340000046369-ARRB2-ex-1	97.53%	100.00%	100.00%	100.00%
set6-0340000046658-ARID5B-ex-1	94.55%	100.00%	100.00%	100.00%
set6-0340000046713-PTX3-ex-1	98.10%	100.00%	100.00%	100.00%
set6-0340000046913-SACS-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000046972-AMER1-ex-1	98.75%	100.00%	100.00%	100.00%
set6-0340000047058-SEC62-ex-1	96.87%	100.00%	100.00%	100.00%
set6-0340000047111-ISM2-ex-0	98.08%	100.00%	100.00%	100.00%
set6-0340000047467-SETD1B-ex-3	89.27%	100.00%	100.00%	100.00%
set6-0340000047506-RB1CC1-ex-0	98.73%	100.00%	100.00%	100.00%
set6-0340000047511-col6a3-ex-2	98.35%	100.00%	100.00%	100.00%
set6-0340000047511-col6a3-ex-3	98.34%	100.00%	100.00%	100.00%
set6-0340000047511-col6a3-ex-5	98.33%	100.00%	100.00%	100.00%
